BFS_NR_GEMEINDE,GEMEINDE_NAME,BEZIRK_NR,BEZIRK_NAME,JAHR,GESCHLECHT_CODE,GESCHLECHT_BEZEICHNUNG,ALTER5KLASSEN_CODE,ALTER5KLASSEN_BEZEICHNUNG,ANZAHL_PERSONEN
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,0,4 Jahre oder jünger,22, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,5,5 bis 9 Jahre,19, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,10,10 bis 14 Jahre,26, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,15,15 bis 19 Jahre,28, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,20,20 bis 24 Jahre,22, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,25,25 bis 29 Jahre,15, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,30,30 bis 34 Jahre,21, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,35,35 bis 39 Jahre,25, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,40,40 bis 44 Jahre,27, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,45,45 bis 49 Jahre,40, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,50,50 bis 54 Jahre,44, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,55,55 bis 59 Jahre,46, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,60,60 bis 64 Jahre,39, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,65,65 bis 69 Jahre,28, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,70,70 bis 74 Jahre,29, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,75,75 bis 79 Jahre,17, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,80,80 bis 84 Jahre,16, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,85,85 bis 89 Jahre,9, 
4426,Kesswil,2011,Bezirk Arbon,2019,1,Männlich,90,90+ Jahre,4, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,0,4 Jahre oder jünger,29, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,5,5 bis 9 Jahre,32, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,10,10 bis 14 Jahre,32, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,15,15 bis 19 Jahre,33, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,20,20 bis 24 Jahre,22, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,25,25 bis 29 Jahre,15, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,30,30 bis 34 Jahre,25, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,35,35 bis 39 Jahre,21, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,40,40 bis 44 Jahre,31, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,45,45 bis 49 Jahre,32, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,50,50 bis 54 Jahre,45, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,55,55 bis 59 Jahre,50, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,60,60 bis 64 Jahre,31, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,65,65 bis 69 Jahre,38, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,70,70 bis 74 Jahre,26, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,75,75 bis 79 Jahre,23, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,80,80 bis 84 Jahre,19, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,85,85 bis 89 Jahre,14, 
4426,Kesswil,2011,Bezirk Arbon,2019,2,Weiblich,90,90+ Jahre,5, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,0,4 Jahre oder jünger,89, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,5,5 bis 9 Jahre,99, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,10,10 bis 14 Jahre,95, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,15,15 bis 19 Jahre,106, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,20,20 bis 24 Jahre,96, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,25,25 bis 29 Jahre,68, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,30,30 bis 34 Jahre,92, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,35,35 bis 39 Jahre,98, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,40,40 bis 44 Jahre,97, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,45,45 bis 49 Jahre,111, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,50,50 bis 54 Jahre,143, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,55,55 bis 59 Jahre,125, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,60,60 bis 64 Jahre,109, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,65,65 bis 69 Jahre,80, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,70,70 bis 74 Jahre,76, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,75,75 bis 79 Jahre,38, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,80,80 bis 84 Jahre,29, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,85,85 bis 89 Jahre,12, 
4431,Roggwil,2011,Bezirk Arbon,2019,1,Männlich,90,90+ Jahre,1, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,0,4 Jahre oder jünger,79, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,5,5 bis 9 Jahre,61, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,10,10 bis 14 Jahre,85, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,15,15 bis 19 Jahre,104, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,20,20 bis 24 Jahre,71, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,25,25 bis 29 Jahre,72, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,30,30 bis 34 Jahre,99, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,35,35 bis 39 Jahre,89, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,40,40 bis 44 Jahre,108, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,45,45 bis 49 Jahre,118, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,50,50 bis 54 Jahre,146, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,55,55 bis 59 Jahre,127, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,60,60 bis 64 Jahre,94, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,65,65 bis 69 Jahre,74, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,70,70 bis 74 Jahre,73, 
4431,Roggwil,2011,Bezirk Arbon,2019,2,Weiblich,75,75 bis 79 Jahre,37, 
